date,IPI,CPI,M1,M2,Housing Price Index,Federal Funds Rate
1919-01-01,4.8665,,,,,
1919-02-01,4.6514,,,,,
1919-03-01,4.517,,,,,
1919-04-01,4.5976,,,,,
1919-05-01,4.6245,,,,,
1919-06-01,4.9203,,,,,
1919-07-01,5.216,,,,,
1919-08-01,5.2967,,,,,
1919-09-01,5.1891,,,,,
1919-10-01,5.1354,,,,,
1919-11-01,5.0547,,,,,
1919-12-01,5.1354,,,,,
1920-01-01,5.6193,,,,,
1920-02-01,5.6193,,,,,
1920-03-01,5.5118,,,,,
1920-04-01,5.216,,,,,
1920-05-01,5.3505,,,,,
1920-06-01,5.4042,,,,,
1920-07-01,5.2698,,,,,
1920-08-01,5.2967,,,,,
1920-09-01,5.1085,,,,,
1920-10-01,4.8934,,,,,
1920-11-01,4.4901,,,,,
1920-12-01,4.2212,,,,,
1921-01-01,3.9792,,,,,
1921-02-01,3.8986,,,,,
1921-03-01,3.791,,,,,
1921-04-01,3.791,,,,,
1921-05-01,3.8986,,,,,
1921-06-01,3.8717,,,,,
1921-07-01,3.8448,,,,,
1921-08-01,3.9792,,,,,
1921-09-01,4.0061,,,,,
1921-10-01,4.2481,,,,,
1921-11-01,4.1943,,,,,
1921-12-01,4.1674,,,,,
1922-01-01,4.3288,,,,,
1922-02-01,4.517,,,,,
1922-03-01,4.7589,,,,,
1922-04-01,4.5976,,,,,
1922-05-01,4.8396,,,,,
1922-06-01,5.0816,,,,,
1922-07-01,5.0816,,,,,
1922-08-01,4.974,,,,,
1922-09-01,5.2429,,,,,
1922-10-01,5.5387,,,,,
1922-11-01,5.7806,,,,,
1922-12-01,5.942,,,,,
1923-01-01,5.8075,,,,,
1923-02-01,5.8882,,,,,
1923-03-01,6.0764,,,,,
1923-04-01,6.2108,,,,,
1923-05-01,6.2915,,,,,
1923-06-01,6.2377,,,,,
1923-07-01,6.1839,,,,,
1923-08-01,6.0764,,,,,
1923-09-01,5.942,,,,,
1923-10-01,5.9151,,,,,
1923-11-01,5.9151,,,,,
1923-12-01,5.7806,,,,,
1924-01-01,5.9151,,,,,
1924-02-01,6.0226,,,,,
1924-03-01,5.9151,,,,,
1924-04-01,5.7269,,,,,
1924-05-01,5.4849,,,,,
1924-06-01,5.2429,,,,,
1924-07-01,5.1622,,,,,
1924-08-01,5.3505,,,,,
1924-09-01,5.5387,,,,,
1924-10-01,5.6731,,,,,
1924-11-01,5.7806,,,,,
1924-12-01,5.942,,,,,
1925-01-01,6.1302,,,,,
1925-02-01,6.1302,,,,,
1925-03-01,6.1302,,,,,
1925-04-01,6.1839,,,,,
1925-05-01,6.1571,,,,,
1925-06-01,6.1033,,,,,
1925-07-01,6.2646,,,,,
1925-08-01,6.1571,,,,,
1925-09-01,6.0764,,,,,
1925-10-01,6.3184,,,,,
1925-11-01,6.4528,,,,,
1925-12-01,6.5335,,,,,
1926-01-01,6.4259,,,,,
1926-02-01,6.4259,,,,,
1926-03-01,6.5066,,,,,
1926-04-01,6.5066,,,,,
1926-05-01,6.4528,,,,,
1926-06-01,6.5335,,,,,
1926-07-01,6.5604,,,,,
1926-08-01,6.641,,,,,
